code,nom,statut,codepostal,id_commune,latitude,longitude
0150001V,Collège Maurice Peschaud,Public,15160,1,45.230605740493495,2.9353501250960568
0150005Z,Collège La Jordanne,Public,15005,14,44.92112535663867,2.4404905355487023
0150006A,Lycée polyvalent Monnet-Mermoz - Lycée des métiers des sciences et techniques appliquées à l'industrie et aux services,Public,15005,14,44.93647192501501,2.4525295902159927
0150008C,Lycée professionnel Raymond Cortat - Lycée des métiers de la restauration et du service aux personnes et aux entreprises,Public,15005,14,44.943959771698935,2.459210098619543
0150010E,Collège Louis Pasteur,Public,15110,45,44.85599627449351,3.005309996997528
0150011F,Collège Georges Pompidou,Public,15190,54,45.33841607015185,2.755940986154564
0150013H,Collège du Val de Cère,Public,15150,94,44.973584269151786,2.199745601387648
0150014J,Collège Pierre Galery,Public,15500,119,45.250596605159195,3.191539921486653
0150016L,Collège du Méridien,Public,15200,120,45.219362760669036,2.3366396178086943
0150018N,Collège des Portes du Midi,Public,15600,122,44.70946124756834,2.200470392270317
0150020R,Collège Marcellin Boule,Public,15120,134,44.708348311256714,2.5025103983544597
0150022T,Lycée professionnel Joseph Constant,Public,15300,138,45.10997973137242,2.861059833047118
0150023U,Collège Georges Pompidou,Public,15300,138,45.10862198525368,2.8596696286830974
0150024V,Collège des Gorges de La Truyère,Public,15230,152,44.921764740559254,2.8411595376730694
0150025W,Collège Raymond Cortat,Public,15700,153,45.13394732528476,2.227769808370243
0150027Y,Collège Georges Bataille,Public,15400,162,45.28132316544852,2.661160328850534
0150028Z,Collège Henri Mondor,Public,15310,175,45.05691083333986,2.422440372455549
0150029A,Collège Blaise Pascal,Public,15100,187,45.03657863398305,3.087730583296173
0150030B,Lycée polyvalent de Haute Auvergne,Public,15101,187,45.0352036275507,3.0819798437208243
0150033E,Collège Jean de La Fontaine,Public,15800,258,44.97606489962844,2.6237198018228662
0150034F,Collège Georges Brassens,Public,15210,265,45.34161972699636,2.438859889609578
0150036H,Section d'enseignement professionnel du Lycée Monnet-Mermoz,Public,15005,14,44.93588796606886,2.451329778620416
0150037J,Lycée d'enseignement général technologique et professionnel agricole d'Aurillac,Public,15005,14,44.93754796541008,2.443120629181771
0150042P,Section d'enseignement professionnel du Lycée Haute Auvergne,Public,15101,187,45.03528340376004,3.0812396402985875
0150047V,Lycée polyvalent privé de la Communication Saint Géraud,Privé,15013,14,44.93154135603112,2.4463300724963175
0150051Z,Lycée général privé La Présentation,Privé,15100,187,45.035020993307036,3.0865497308927643
0150053B,Collège privé Saint Joseph La Présentation,Privé,15106,187,45.03410905514316,3.1023004336270184
0150061K,Collège privé Notre-Dame des Miracles,Privé,15200,120,45.21783207421046,2.3339300839082
0150062L,Collège privé Sacré-Coeur,Privé,15400,162,45.28064067390202,2.6585102733942834
0150065P,Collège privé Notre-Dame des Oliviers,Privé,15170,141,45.12905333646621,2.972670330788921
0150082H,Ecole élémentaire privée Externat de L'Enfant-Jésus,Privé,15000,14,44.925334485056936,2.4395702526084304
0150083J,Ecole élémentaire privée Saint Joseph,Privé,15013,14,44.914548375693066,2.4360894375203443
0150095X,Ecole élémentaire Simone VEIL,Public,15310,191,45.0617845948478,2.3143999103169284
0150103F,Ecole élémentaire,Public,15220,196,44.85865932837229,2.298259425064381
0150112R,Ecole élémentaire,Public,15140,202,45.1165344066153,2.4265501445356565
0150114T,Ecole élémentaire Michel DURIOL,Public,15230,201,44.92283136173183,2.8037698070391053
0150119Y,Ecole élémentaire,Public,15250,204,44.94080899644875,2.316839819748517
0150124D,Ecole élémentaire,Public,15500,207,45.164292114608074,3.18716982344827
0150130K,Ecole élémentaire,Public,15150,211,45.027205350492125,2.2558501506802946
0150131L,Ecole élémentaire,Public,15600,212,44.65203696673261,2.214470343794456
0150136S,Ecole élémentaire,Public,15130,215,44.96323077490933,2.4901100555666886
0150138U,Ecole élémentaire,Public,15110,216,44.697329044521666,3.0034496635523396
0150140W,Ecole élémentaire M.Boule,Public,15120,134,44.70729436563041,2.5007800200019306
0150145B,Ecole élémentaire,Public,15380,137,45.23857109329425,2.467359405177688
0150146C,Ecole élémentaire Jean-Jacques Trillat,Public,15300,138,45.10916865083052,2.864130038818949
0150155M,Ecole élémentaire,Public,15260,142,44.92745842936423,2.984249964393862
0150163W,Ecole élémentaire,Public,15290,144,44.8777500029418,2.2769300104274612
0150164X,Ecole élémentaire,Public,15100,142,44.91892364834803,2.9342595851075393
0150168B,Ecole élémentaire,Public,15290,147,44.828075167711916,2.172620168788412
0150169C,Ecole élémentaire,Public,15430,148,45.00660748147017,2.904390226055102
0150176K,Ecole élémentaire,Public,15230,152,44.92248506934761,2.8380703681383714
0150177L,Ecole élémentaire,Public,15700,153,45.134241198870605,2.2228895780035387
0150178M,Ecole élémentaire,Public,15800,154,44.95105663033617,2.577499525548302
0150181R,Ecole élémentaire,Public,15130,156,44.82017434325202,2.465759835978666
0150184U,Ecole élémentaire,Public,15600,157,44.74767815761093,2.1868699028330614
0150197H,Ecole élémentaire,Public,15400,124,45.296908972904795,2.583780129365963
0150202N,Ecole élémentaire,Public,15600,122,44.711867887347715,2.195999381409706
0150208V,Ecole élémentaire,Public,15500,119,45.250156920885914,3.1994201373306366
0150212Z,Ecole élémentaire,Public,15220,117,44.78206504701432,2.351999520119488
0150219G,Ecole élémentaire,Public,15190,114,45.305861072626925,2.8273695025943066
0150225N,Ecole élémentaire,Public,15190,110,48.905288370436764,2.3889893168933978
0150229T,Ecole élémentaire,Public,15320,108,44.92528397014049,3.219330066984173
0150235Z,Ecole élémentaire,Public,15600,104,44.74014832305939,2.3008096492985937
0150247M,Ecole élémentaire,Public,15130,74,44.93094964162251,2.512630538282074
0150259A,Ecole élémentaire,Public,15120,82,44.71464843702381,2.45337962939061
0150262D,Ecole élémentaire,Public,15250,83,44.98849274650523,2.421579857310689
0150264F,Ecole élémentaire,Public,15120,84,44.74333939633368,2.4608347861531845
0150265G,Ecole élémentaire,Public,15130,85,44.857547487242684,2.5394098313843707
0150267J,Ecole élémentaire,Public,15120,87,44.78061573394681,2.4367598721029933
0150268K,Ecole élémentaire,Public,15150,88,44.922589900213495,2.2637305177110276
0150269L,Ecole élémentaire,Public,15120,89,44.75536361964474,2.507129930359362
0150271N,Ecole élémentaire,Public,15130,90,44.789842156740896,2.4604306000608474
0150274S,Ecole élémentaire,Public,15270,92,45.438765603491184,2.530360000049621
0150278W,Ecole élémentaire,Public,15150,94,44.96741835531331,2.1926597086082786
0150279X,Ecole élémentaire,Public,15250,95,45.02197868795454,2.52959955280051
0150280Y,Ecole élémentaire,Public,15590,96,45.02261415535466,2.575710382819709
0150286E,Ecole élémentaire,Public,15300,101,45.1158319478107,2.8059142462907842
0150289H,Ecole élémentaire les Granges,Public,15270,92,45.41085992090187,2.5050305849996204
0150296R,Ecole élémentaire,Public,15320,108,44.93983969473999,3.1461805617427836
0150302X,Ecole élémentaire,Public,15140,63,45.16726538340936,2.3852296364943486
0150306B,Ecole élémentaire,Public,15300,61,45.158727639689666,2.7877202393751626
0150312H,Ecole élémentaire,Public,15250,56,44.95993506311216,2.34633044883763
0150313J,Ecole élémentaire,Public,15100,55,45.07749177065028,3.106910178865683
0150317N,Ecole élémentaire,Public,15190,54,45.34108843214577,2.757936442819772
0150318P,Ecole élémentaire,Public,15170,53,45.091589438851116,2.9877603500795757
0150319R,Ecole maternelle,Public,15500,42,45.177255838892755,3.243440044078375
0150324W,Ecole élémentaire,Public,15110,45,44.85619430941308,3.0060694935365118
0150330C,Ecole élémentaire,Public,15400,49,45.20922108578763,2.7169298943532847
0150340N,Ecole élémentaire Tivoli,Public,15000,14,44.91458511629758,2.437120525044205
0150347W,Ecole élémentaire,Public,15250,16,44.98494801642677,2.3284702971690603
0150350Z,Ecole élémentaire Vendes,Public,15240,19,45.297450034787964,2.3861895400986857
0150353C,Ecole élémentaire,Public,15600,21,44.78271548293926,2.252090520200998
0150361L,Ecole élémentaire,Public,15340,27,44.717510007695196,2.3590788675774563
0150362M,Ecole élémentaire,Public,15130,28,44.890132634808204,2.565649474915745
0150363N,Ecole élémentaire,Public,15340,29,44.69017648210275,2.3841599733988166
0150366S,Ecole élémentaire,Public,15290,30,44.83086281294789,2.2335597797386533
0150373Z,Ecole élémentaire,Public,15170,141,45.154778366673064,2.93306962968819
0150377D,Ecole élémentaire,Public,15200,36,45.24123416853203,2.2459298822158904
0150380G,Ecole élémentaire,Public,15350,37,45.35745632834163,2.398449661558819
0150384L,Ecole élémentaire,Public,15270,38,45.39590244047337,2.560840234024818
0150397A,Ecole élémentaire,Public,15700,3,45.17364862958785,2.3175103330850746
0150400D,Ecole élémentaire,Public,15100,4,45.06019718410785,3.0614294430357107
0150401E,Ecole élémentaire,Public,15100,5,44.98132813745683,3.1538396389715215
0150403G,Ecole élémentaire,Public,15380,6,45.202633949158695,2.439309369284174
0150413T,Ecole élémentaire,Public,15130,12,44.90093763119303,2.4576496774243917
0150415V,Ecole maternelle,Public,15130,12,44.90077291902687,2.4580300519048706
0150420A,Ecole élémentaire des Frères Delmas,Public,15000,14,44.93257502395094,2.448510197138493
0150424E,Ecole maternelle de La Fontaine,Public,15000,14,44.93215113696133,2.4472797795526975
0150426G,Ecole élémentaire La Jordanne,Public,15000,14,44.91746484780829,2.4412899019318455
0150427H,Ecole élémentaire Les Alouettes,Public,15000,14,44.931185754042616,2.4377296545614717
0150430L,Ecole élémentaire Le Palais,Public,15000,14,44.92790494767797,2.44295019912506
0150431M,Ecole élémentaire Jean-Baptiste Rames,Public,15000,14,44.92587579761087,2.443909493077494
0150438V,Ecole élémentaire privée Saint André,Privé,15500,119,45.25194777357946,3.199480081349945
0150439W,Ecole élémentaire privée Institution Notre-Dame,Privé,15200,120,45.216764794372686,2.3322305388127287
0150440X,Ecole élémentaire,Public,15800,159,44.899739752536476,2.6568096196173556
0150441Y,Ecole élémentaire,Public,15250,160,44.97334206044901,2.4217996363700576
0150443A,Ecole élémentaire Georges Pompidou,Public,15400,162,45.28211325439694,2.6636797009682787
0150447E,Ecole élémentaire,Public,15220,163,44.856753232348304,2.3895094494892644
0150450H,Ecole élémentaire,Public,15100,164,45.05246518156754,3.0380498956477453
0150451J,Ecole élémentaire,Public,15150,165,45.0225826348693,2.137200541778764
0150454M,Ecole élémentaire,Public,15290,166,44.85653665218858,2.2014500919281326
0150456P,Ecole élémentaire,Public,15320,168,45.00087513585792,3.2239395850982127
0150459T,Ecole élémentaire,Public,15240,169,45.33581363911767,2.479329387833138
0150466A,Ecole élémentaire,Public,15310,175,45.05746430933455,2.4220395716240652
0150469D,Ecole élémentaire,Public,15140,176,45.090358249282374,2.4394802234591593
0150471F,Ecole primaire,Public,15590,178,45.027886677805846,2.582329985173424
0150476L,Ecole élémentaire,Public,15600,181,44.68485597506618,2.23134004471177
0150481S,Ecole élémentaire,Public,15600,184,44.71934348474184,2.208257799592705
0150483U,Ecole élémentaire Hugo-Vialatte,Public,15100,187,45.033673164909096,3.0910097584470004
0150485W,Ecole élémentaire Louis Thioleron,Public,15100,187,45.03289625975162,3.1042194134705547
0150491C,Ecole élémentaire,Public,15140,219,45.1379217174945,2.4949904383945527
0150493E,Ecole élémentaire,Public,15130,221,44.883089139871664,2.3472695762446323
0150494F,Ecole élémentaire,Public,15120,222,44.74125788910083,2.445699619901439
0150495G,Ecole élémentaire,Public,15240,223,45.31587502934112,2.4432900619565943
0150503R,Ecole élémentaire,Public,15150,228,44.95412087662476,2.126739889828475
0150506U,Ecole élémentaire,Public,15200,230,45.27713037554069,2.339440441507298
0150507V,Ecole élémentaire,Public,15170,231,45.11369580277748,3.0470094823483973
0150514C,Ecole élémentaire,Public,15130,234,44.82298847302964,2.5435199142414815
0150516E,Ecole élémentaire,Public,15100,235,44.99693977793012,3.0143305492535095
0150518G,Ecole élémentaire,Public,15800,236,45.01482285441236,2.662489482928726
0150529U,Ecole élémentaire,Public,15400,243,45.25344017166903,2.5382105687183416
0150533Y,Ecole élémentaire,Public,15300,244,45.08099961507386,2.9349994078023802
0150535A,Ecole élémentaire,Public,15100,245,45.03466559600923,3.2052494190687413
0150537C,Ecole élémentaire,Public,15400,246,45.26831460611427,2.6026595102460917
0150540F,Ecole élémentaire,Public,15500,158,45.10419716269301,3.277440089649004
0150543J,Ecole élémentaire,Public,15120,103,44.77947863899162,2.5313699432131176
0150545L,Ecole élémentaire,Public,15300,248,45.05295667917525,2.9330503898106763
0150550S,Ecole élémentaire,Public,15240,250,45.33966134644364,2.5196202406769026
0150553V,Ecole élémentaire,Public,15590,252,45.00123913732474,2.5523305953864974
0150556Y,Ecole élémentaire,Public,15130,255,44.89206008828442,2.518840310286055
0150562E,Ecole maternelle Etienne Labrunie,Public,15800,258,44.980580270834366,2.6266504437325033
0150563F,Ecole élémentaire,Public,15500,259,45.126641243356914,3.1510699360364036
0150566J,Ecole élémentaire,Public,15200,261,45.22651013961407,2.3539301967587773
0150568L,Ecole élémentaire,Public,15100,262,44.999764682175794,3.0641702973838103
0150569M,Ecole maternelle Bouzentes,Public,15100,262,45.01447232517443,3.0389101079343104
0150572R,Ecole élémentaire,Public,15220,264,44.815162713064616,2.3148303242398964
0150575U,Ecole élémentaire,Public,15210,265,45.34372625270632,2.4374902423280655
0150577W,Ecole élémentaire,Public,15130,266,44.928102447116565,2.5322803516098222
0150578X,Ecole élémentaire,Public,15130,267,44.91472916727981,2.3640093916362033
0150579Y,Ecole élémentaire Le Bex,Public,15130,267,44.880041877881084,2.3848998769286016
0150581A,Collège Jean Dauzié,Public,15220,196,44.85827132420505,2.3073002140271552
0150582B,Section d'enseignement général et professionnel adapté du Collège Blaise Pascal,Public,15101,187,45.036330816248054,3.087999407388883
0150586F,Ecole élémentaire privée Institution Notre-Dame des Oliviers,Privé,15300,138,45.10947642693982,2.8677404422082176
0150589J,Ecole élémentaire privée Institution Saint Joseph,Privé,15700,153,45.13361838151662,2.2262999425863974
0150590K,Ecole élémentaire privée du Sacré-Coeur,Privé,15400,162,45.28053248293684,2.6581703926123286
0150593N,Ecole élémentaire privée Institution Saint Joseph,Privé,15106,187,45.0344506133026,3.1019594741013896
0150594P,Ecole élémentaire privée Institution Notre-Dame,Privé,15100,187,45.03476361111805,3.0898001089581903
0150599V,Lycée professionnel agricole de Saint-Flour,Public,15100,187,45.02450736591501,3.068211860764757
0150608E,Ecole élémentaire,Public,15340,27,44.6939997189498,2.3319290095184173
0150609F,Ecole maternelle,Public,15800,192,45.05327659883483,2.7111093960749892
0150610G,Ecole élémentaire,Public,15200,120,45.21742121061697,2.335550463935152
0150613K,Etablissement régional d'enseignement adapté Albert Monier,Public,15013,14,44.93700747433619,2.4488494423111575
0150623W,Ecole élémentaire privée Saint-Joseph,Privé,15140,202,45.11792408233631,2.428190444442502
0150633G,Section d'enseignement général et professionnel adapté du Collège La Ponétie,Public,15013,14,44.904059781705456,2.449890107107749
0150639N,Collège Jeanne de La Treilhe,Public,15000,14,44.931332705102776,2.446920262863509
0150646W,Lycée général Emile Duclaux,Public,15005,14,44.927782859640786,2.439440592922277
0150647X,Collège Jules Ferry,Public,15005,14,44.9258813233219,2.4414202638743485
0150661M,Lycée agricole privé Saint-Vincent de Saint-Flour,Privé,15100,187,45.03500348813291,3.0870601794185513
0150666T,Collège La Vigière,Public,15100,187,45.03302588341061,3.10709955045507
0150667U,Section d'enseignement professionnel,Public,15200,120,45.21382008287824,2.341140124766032
0150668V,Maison Familiale Rurale Crouzit Haut de Mauriac,Privé,15200,120,45.2234106426503,2.2857187873324087
0150669W,Ecole élémentaire de Canteloube,Public,15000,14,44.90604342702414,2.4320205660195438
0150672Z,Maison Familiale Rurale de Marcoles - Saint-Mammet,Privé,15220,117,44.78206504701432,2.351999520119488
0150677E,Ecole élémentaire,Public,15250,118,45.00496731902951,2.4846140682407967
0150678F,Ecole élémentaire Etienne Labrunie,Public,15800,258,44.97986548231289,2.627489946900659
0150679G,Ecole élémentaire,Public,15290,268,44.853411870297435,2.2324001923120926
0150683L,Ecole élémentaire Prat Long,Public,15320,34,44.969278116499176,3.2357904317977493
0150686P,Ecole élémentaire Besserette,Public,15100,187,45.03812009043014,3.076759703215152
0150687R,Ecole élémentaire,Public,15160,1,45.231044190036954,2.9352502215702096
0150688S,Maison Familiale Rurale de Saint-Flour,Privé,15100,187,45.038682423505314,3.095872818465566
0150690U,Section d'enseignement général et professionnel adapté du Collège du Méridien,Public,15200,120,45.21911762687187,2.3361494652875137
0150691V,Ecole élémentaire,Public,15250,140,44.9575595945576,2.417919640689212
0150693X,Ecole élémentaire,Public,15170,141,45.128256326795416,2.975920572073692
0150695Z,Ecole élémentaire Paul Doumer,Public,15000,14,44.92315413405051,2.4369699098202613
0150708N,Collège privé Gerbert,Privé,15000,14,44.915101259869516,2.4353907452880663
0150713U,Ecole élémentaire Belbex,Public,15000,14,44.91692385174704,2.420740047835959
0150729L,Collège La Ponétie,Public,15013,14,44.904234741075065,2.4490395617596565
0150732P,Ecole élémentaire Lavaurs,Public,15200,79,45.25051247625123,2.3495396955136285
0150743B,Section d'enseignement professionnel du Lycée privé de la Communication Saint Géraud,Privé,15013,14,44.93201672315936,2.4454203573908075
0150747F,Lycée polyvalent - Lycée des métiers de l'eau et de la gestion comptable,Public,15200,120,45.2133038762988,2.3406404644158756
0150760V,Lycée Polyvalent privé Gerbert,Privé,15000,14,44.91492261677949,2.435849985504045
0150761W,Section d'enseignement professionnel du Lycée privé Gerbert,Privé,15000,14,44.91510125343173,2.435389478195114
0150773J,Ecole élementaire privée La Calandreta del Vernhat,Privé,15000,14,44.90477730883497,2.434630577068397
