Code commune,Nom de la commune,Population totale
1,ALLANCHE,808
2,ALLEUZE,227
3,ALLY,611
4,ANDELAT,481
5,ANGLARDS DE SAINT FLOUR,366
6,ANGLARDS DE SALERS,759
7,ANTERRIEUX,128
8,ANTIGNAC,286
9,APCHON,192
10,ARCHES,193
11,ARNAC,185
12,ARPAJON SUR CERE,6471
13,AURIAC L'EGLISE,147
14,AURILLAC,26876
15,AUZERS,171
16,AYRENS,643
17,BADAILHAC,151
18,BARRIAC LES BOSQUETS,133
19,BASSIGNAC,239
20,BEAULIEU,101
21,BOISSET,650
22,BONNAC,169
24,BRAGEAC,76
25,ALBEPIERRE BREDONS,247
26,BREZONS,184
27,PUYCAPEL,759
28,CARLAT,365
29,CASSANIOUZE,523
30,CAYROLS,301
32,CELOUX,63
33,CEZENS,219
34,CHALIERS,151
36,CHALVIGNAC,478
37,CHAMPAGNAC,1080
38,CHAMPS SUR TARENTAINE MARCHAL,1055
40,CHANTERELLE,105
41,LA CHAPELLE D'ALAGNON,257
42,LA CHAPELLE LAURENT,258
43,CHARMENSAC,89
45,CHAUDES AIGUES,852
46,CHAUSSENAC,221
48,CHAZELLES,32
49,CHEYLADE,226
50,LE CLAUX,172
51,CLAVIERES,214
52,COLLANDRES,168
53,COLTINES,449
54,CONDAT,1013
55,COREN,454
56,CRANDELLES,876
57,CROS DE MONTVERT,193
58,CROS DE RONESQUE,147
59,CUSSAC,128
60,DEUX VERGES,52
61,DIENNE,276
63,DRUGEAC,346
64,ESCORAILLES,84
65,ESPINASSE,80
66,LE FALGOUX,119
67,LE FAU,29
69,FERRIERES SAINT MARY,250
70,FONTANGES,203
72,FREIX ANGLARDS,228
73,FRIDEFONT,94
74,GIOU DE MAMOU,784
75,GIRGOLS,78
76,GLENAT,175
77,GOURDIEGES,61
78,JABRUN,157
79,JALEYRAC,381
80,JOURSAC,151
81,JOU SOUS MONJOU,100
82,JUNHAC,308
83,JUSSAC,2089
84,LABESSERETTE,300
85,LABROUSSE,508
86,LACAPELLE BARRES,60
87,LACAPELLE DEL FRAISSE,370
88,LACAPELLE VIESCAMP,527
89,LADINHAC,457
90,LAFEUILLADE EN VEZIE,606
91,LANDEYRAT,95
92,LANOBRE,1446
93,LAPEYRUGUE,102
94,LAROQUEBROU,845
95,LAROQUEVIEILLE,358
96,LASCELLE,293
97,LASTIC,116
98,LAURIE,93
100,LAVEISSENET,133
101,LAVEISSIERE,531
102,LAVIGERIE,107
103,LEUCAMP,243
104,LEYNHAC,354
105,LEYVAUX,38
106,LIEUTADES,158
107,LORCIERES,175
108,VAL D'ARCOMIE,1013
110,LUGARDE,136
111,MADIC,215
112,MALBO,96
113,MANDAILLES SAINT JULIEN,187
114,MARCENAT,524
116,MARCHASTEL,165
117,MARCOLES,661
118,MARMANHAC,757
119,MASSIAC,1863
120,MAURIAC,3716
121,MAURINES,109
122,MAURS,2171
123,MEALLET,166
124,MENET,555
125,MENTIERES,131
126,MOLEDES,83
127,MOLOMPIZE,284
128,LA MONSELIE,123
129,MONTBOUDIF,180
130,MONTCHAMP,144
131,LE MONTEIL,298
132,MONTGRELEIX,45
133,MONTMURAT,136
134,MONTSALVY,827
135,MONTVERT,121
137,MOUSSAGES,274
138,MURAT,1944
139,NARNHAC,68
140,NAUCELLES,2171
141,NEUSSARGUES EN PINATELLE,1834
142,NEUVEGLISE SUR TRUYERE,1775
143,NIEUDAN,103
144,OMPS,340
146,PAILHEROLS,131
147,PARLAN,459
148,PAULHAC,443
149,PAULHENC,260
151,PEYRUSSE,151
152,PIERREFORT,916
153,PLEAUX,1499
154,POLMINHAC,1212
155,PRADIERS,89
156,PRUNET,700
157,QUEZAC,394
158,RAGEADE,105
159,RAULHAC,277
160,REILHAC,1116
161,REZENTIERES,110
162,RIOM ES MONTAGNES,2541
163,ROANNES SAINT MARY,1129
164,ROFFIAC,645
165,ROUFFIAC,206
166,ROUMEGOUX,324
167,ROUZIERS,125
168,RUYNES EN MARGERIDE,737
169,SAIGNES,836
170,SAINT AMANDIN,235
172,SAINT ANTOINE,94
173,SAINT BONNET DE CONDAT,120
174,SAINT BONNET DE SALERS,277
175,SAINT CERNIN,1097
176,SAINT CHAMANT,251
178,SAINT CIRGUES DE JORDANNE,149
179,SAINT CIRGUES DE MALBERT,253
180,SAINT CLEMENT,78
181,SAINT CONSTANT FOURNOULES,588
182,SAINT ETIENNE CANTALES,136
183,SAINT ETIENNE DE CARLAT,135
184,SAINT ETIENNE DE MAURS,804
185,SAINT ETIENNE DE CHOMEIL,254
186,SAINTE EULALIE,232
187,SAINT FLOUR,7000
188,SAINT GEORGES,1229
189,SAINT GERONS,229
190,SAINT HIPPOLYTE,107
191,SAINT ILLIDE,653
192,SAINT JACQUES DES BLATS,297
194,SAINT JULIEN DE TOURSAC,111
196,SAINT MAMET LA SALVETAT,1601
198,SAINTE MARIE,109
199,SAINT MARTIAL,75
200,SAINT MARTIN CANTALES,149
201,SAINT MARTIN SOUS VIGOUROUX,229
202,SAINT MARTIN VALMEROUX,734
203,SAINT MARY LE PLAIN,177
204,SAINT PAUL DES LANDES,1581
205,SAINT PAUL DE SALERS,110
206,SAINT PIERRE,144
207,SAINT PONCY,374
208,SAINT PROJET DE SALERS,139
209,SAINT REMY DE CHAUDES AIGUES,129
211,SAINT SANTIN CANTALES,303
212,SAINT SANTIN DE MAURS,374
213,SAINT SATURNIN,207
214,SAINT SAURY,183
215,SAINT SIMON,1158
216,SAINT URCIZE,416
217,SAINT VICTOR,109
218,SAINT VINCENT DE SALERS,70
219,SALERS,330
220,SALINS,147
221,SANSAC DE MARMIESSE,1402
222,SANSAC VEINAZES,227
223,SAUVAT,220
224,LA SEGALASSIERE,145
225,SEGUR LES VILLAS,216
226,SENEZERGUES,208
228,SIRAN,472
229,SOULAGES,83
230,SOURNIAC,206
231,TALIZAT,616
232,TANAVELLE,235
233,TEISSIERES DE CORNET,306
234,TEISSIERES LES BOULIES,336
235,LES TERNES,596
236,THIEZAC,616
237,TIVIERS,178
238,TOURNEMIRE,131
240,TREMOUILLE,180
241,LA TRINITAT,51
242,LE TRIOULOU,104
243,TRIZAC,512
244,USSEL,483
245,VABRES,256
246,VALETTE,237
247,VALJOUZE,23
248,VALUEJOLS,576
249,LE VAULMIER,66
250,VEBRET,527
251,VEDRINES SAINT LOUP,147
252,VELZIC,431
253,VERNOLS,66
254,VEYRIERES,121
255,VEZAC,1284
256,VEZE,57
257,VEZELS ROUSSY,129
258,VIC SUR CERE,1874
259,VIEILLESPESSE,247
260,VIEILLEVIE,112
261,LE VIGEAN,846
262,VILLEDIEU,573
263,VIRARGUES,129
264,VITRAC,275
265,YDES,1672
266,YOLET,561
267,YTRAC,4441
268,LE ROUGET PERS,1259
269,BESSE,133
